epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6946,1.47474,3.56708,1.35779,0.22417,0.32441,0.1638,0.08773,1.51898,2.5436,1.41411,0.000302109,0.000302109,0.000302109
2,58.471,1.54162,2.93892,1.42059,0.31595,0.30125,0.23434,0.12056,1.57963,2.36982,1.42971,0.000545203,0.000545203,0.000545203
3,85.3484,1.56277,2.79241,1.4415,0.42586,0.27595,0.22758,0.12105,1.60683,2.42332,1.51362,0.000728303,0.000728303,0.000728303
4,110.939,1.53555,2.64224,1.41601,0.42796,0.3601,0.31022,0.17337,1.49892,2.07549,1.38833,0.000639027,0.000639027,0.000639027
5,137.26,1.44891,2.45613,1.36122,0.31338,0.42981,0.31577,0.17348,1.46922,2.04409,1.34609,0.000549036,0.000549036,0.000549036
6,163.583,1.41989,2.33819,1.33741,0.3826,0.43545,0.35133,0.20999,1.44511,1.97128,1.3455,0.000459045,0.000459045,0.000459045
7,190.217,1.35824,2.19529,1.29844,0.47589,0.40701,0.40292,0.24425,1.34761,1.86208,1.27931,0.000369054,0.000369054,0.000369054
8,216.186,1.30965,2.0428,1.25079,0.51332,0.42464,0.44135,0.26113,1.35018,1.76761,1.27246,0.000279063,0.000279063,0.000279063
9,242.442,1.2553,1.94049,1.2217,0.49752,0.4921,0.47273,0.28585,1.32244,1.72379,1.26927,0.000189072,0.000189072,0.000189072
10,271.538,1.20463,1.83822,1.19091,0.47318,0.53679,0.48733,0.29992,1.31745,1.67124,1.26301,9.9081e-05,9.9081e-05,9.9081e-05
