epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6539,1.41083,3.49695,1.30221,0.27094,0.32006,0.21758,0.11782,1.44168,2.46903,1.33956,0.000301218,0.000301218,0.000301218
2,93.235,1.49803,2.80573,1.37341,0.22805,0.36944,0.2202,0.11062,1.53637,2.40459,1.40977,0.0005444,0.0005444,0.0005444
3,107.101,1.50398,2.6447,1.37506,0.34077,0.37465,0.27714,0.14871,1.55314,2.26501,1.47576,0.000727589,0.000727589,0.000727589
4,123.817,1.49243,2.50656,1.37468,0.34917,0.36083,0.30484,0.16738,1.48745,2.0965,1.38788,0.000639027,0.000639027,0.000639027
5,138.012,1.41943,2.31768,1.33995,0.38945,0.44701,0.3503,0.1892,1.46442,2.00669,1.33669,0.000549036,0.000549036,0.000549036
6,155.056,1.36655,2.17454,1.27856,0.36527,0.52683,0.38855,0.22875,1.40927,1.88436,1.30656,0.000459045,0.000459045,0.000459045
7,170.202,1.31291,2.01339,1.2535,0.4611,0.44533,0.44634,0.25877,1.42318,1.76644,1.3131,0.000369054,0.000369054,0.000369054
8,187.971,1.27687,1.87948,1.20105,0.45162,0.51361,0.45151,0.26497,1.4048,1.72637,1.28227,0.000279063,0.000279063,0.000279063
9,204.536,1.23436,1.80047,1.18142,0.52949,0.53139,0.50913,0.30577,1.35287,1.61093,1.25355,0.000189072,0.000189072,0.000189072
10,223.931,1.1841,1.6902,1.1547,0.50431,0.54644,0.51694,0.31997,1.33053,1.59177,1.24575,9.9081e-05,9.9081e-05,9.9081e-05
