epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,497.897,1.41855,2.45762,1.42326,0.55116,0.30986,0.26511,0.15241,1.32209,5.43466,1.36142,0.000208295,0.000208295,0.000208295
2,982.52,1.42654,1.85415,1.42187,0.41291,0.35126,0.29639,0.17223,1.3087,2.9601,1.33734,0.000396006,0.000396006,0.000396006
3,1456.35,1.41964,1.73272,1.42082,0.4138,0.35149,0.29578,0.17608,1.29626,3.64295,1.3316,0.000563091,0.000563091,0.000563091
4,1931.81,1.39278,1.63394,1.40935,0.62023,0.32209,0.33957,0.20427,1.28216,4.52385,1.33897,0.000532187,0.000532187,0.000532187
5,2398.66,1.34887,1.53673,1.38008,0.57038,0.35382,0.37159,0.22357,1.25656,3.94279,1.30011,0.00050125,0.00050125,0.00050125
6,2863.14,1.33346,1.46644,1.36257,0.58735,0.36404,0.38736,0.23672,1.22816,4.1899,1.29393,0.000470312,0.000470312,0.000470312
7,3322.44,1.30446,1.40773,1.34566,0.57607,0.41014,0.4089,0.24563,1.21916,4.37119,1.27155,0.000439375,0.000439375,0.000439375
8,3795.6,1.27682,1.35519,1.33026,0.49081,0.43488,0.42201,0.26294,1.18057,4.6297,1.25101,0.000408438,0.000408438,0.000408438
9,4263,1.26618,1.32631,1.32169,0.62313,0.37001,0.41967,0.2613,1.17358,4.25945,1.24729,0.0003775,0.0003775,0.0003775
10,4733.4,1.24137,1.27721,1.3026,0.5632,0.41708,0.43456,0.27421,1.14902,4.59155,1.22543,0.000346563,0.000346563,0.000346563
11,5201.62,1.1905,1.09183,1.29471,0.55714,0.44392,0.44218,0.27558,1.16244,4.27396,1.23095,0.000315625,0.000315625,0.000315625
12,5678.93,1.17011,1.03133,1.28134,0.57003,0.42154,0.44414,0.27869,1.15508,4.74935,1.22515,0.000284688,0.000284688,0.000284688
13,6145.6,1.1446,1.00085,1.26122,0.522,0.4716,0.45388,0.28711,1.12327,4.58613,1.20429,0.00025375,0.00025375,0.00025375
14,6601.99,1.12844,0.95777,1.24829,0.56747,0.44921,0.45337,0.28838,1.14406,4.73605,1.21569,0.000222813,0.000222813,0.000222813
15,7067.54,1.10445,0.92018,1.2327,0.60834,0.44385,0.47079,0.29847,1.11675,4.93139,1.19794,0.000191875,0.000191875,0.000191875
16,7524.89,1.08747,0.89052,1.22404,0.61799,0.42357,0.46494,0.29937,1.10776,5.02197,1.1887,0.000160938,0.000160938,0.000160938
17,7991.72,1.07005,0.86097,1.20797,0.61688,0.44789,0.48365,0.31537,1.1036,5.28188,1.18102,0.00013,0.00013,0.00013
18,8449.87,1.05178,0.83414,1.19974,0.60698,0.46236,0.4878,0.31657,1.09936,4.98082,1.17834,9.90625e-05,9.90625e-05,9.90625e-05
19,8919.62,1.03694,0.80963,1.1876,0.60109,0.46385,0.48916,0.31611,1.09591,4.74011,1.17296,6.8125e-05,6.8125e-05,6.8125e-05
20,9391.39,1.01754,0.78686,1.17532,0.60708,0.46797,0.49451,0.31832,1.09242,4.70156,1.17076,3.71875e-05,3.71875e-05,3.71875e-05
