epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3325,1.57842,3.45192,1.31428,0.29784,0.28159,0.17471,0.09875,1.5358,2.60658,1.32043,0.000302109,0.000302109,0.000302109
2,112.934,1.65744,2.65437,1.3664,0.26638,0.38633,0.21285,0.10939,1.63679,2.39407,1.3937,0.000575156,0.000575156,0.000575156
3,140.238,1.68165,2.51,1.37933,0.27603,0.38951,0.25169,0.12127,1.63428,2.22539,1.33124,0.000818206,0.000818206,0.000818206
4,166.894,1.64165,2.45026,1.37235,0.29871,0.36081,0.26308,0.14645,1.59029,2.10338,1.33271,0.000774013,0.000774013,0.000774013
5,193.107,1.61276,2.33745,1.3566,0.32392,0.37516,0.29292,0.15624,1.53033,2.35068,1.28319,0.000729018,0.000729018,0.000729018
6,218.721,1.58324,2.24876,1.3384,0.33045,0.40952,0.29645,0.15628,1.57058,2.04475,1.30379,0.000684022,0.000684022,0.000684022
7,246.972,1.57901,2.20109,1.32562,0.43328,0.38845,0.34955,0.19129,1.55894,1.91669,1.2959,0.000639027,0.000639027,0.000639027
8,274.087,1.53914,2.15075,1.31645,0.34497,0.42688,0.34105,0.19362,1.55018,1.95795,1.30766,0.000594031,0.000594031,0.000594031
9,301.61,1.51082,2.10633,1.29613,0.39672,0.4624,0.38417,0.22356,1.46845,1.95231,1.26119,0.000549036,0.000549036,0.000549036
10,327.749,1.48272,2.04475,1.28682,0.48593,0.42098,0.37517,0.21686,1.4434,1.80779,1.2458,0.00050404,0.00050404,0.00050404
11,354.497,1.41138,2.02997,1.2355,0.41037,0.50409,0.38839,0.21995,1.44483,1.82535,1.25216,0.000459045,0.000459045,0.000459045
12,381.228,1.39016,1.90046,1.22305,0.48083,0.44541,0.41434,0.24454,1.42464,1.78232,1.24992,0.000414049,0.000414049,0.000414049
13,408,1.33379,1.82812,1.20134,0.42934,0.46939,0.42384,0.25449,1.40408,1.77039,1.23143,0.000369054,0.000369054,0.000369054
14,434.878,1.32453,1.74085,1.19169,0.5482,0.41986,0.46931,0.27876,1.39739,1.71029,1.23404,0.000324058,0.000324058,0.000324058
15,461.696,1.30805,1.70808,1.17693,0.50612,0.50401,0.4393,0.26055,1.37793,1.69923,1.18916,0.000279063,0.000279063,0.000279063
16,488.821,1.2751,1.67766,1.15743,0.57722,0.48076,0.48312,0.28398,1.38784,1.63353,1.21602,0.000234068,0.000234068,0.000234068
17,518.783,1.28359,1.6201,1.16005,0.55989,0.46568,0.49984,0.31136,1.34681,1.57276,1.19464,0.000189072,0.000189072,0.000189072
18,544.884,1.2457,1.5607,1.14961,0.53446,0.48834,0.51761,0.31571,1.31537,1.56586,1.15645,0.000144077,0.000144077,0.000144077
19,570.685,1.24375,1.54841,1.15009,0.51555,0.52007,0.52123,0.32159,1.31944,1.57949,1.15453,9.9081e-05,9.9081e-05,9.9081e-05
20,597.658,1.2097,1.49702,1.12026,0.50681,0.55919,0.53928,0.33617,1.30944,1.51755,1.15892,5.40855e-05,5.40855e-05,5.40855e-05
