Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,agnostic_nms,amp,augment,auto_augment,batch,bgr,box,cache,cfg,classes,close_mosaic,cls,conf,copy_paste,copy_paste_mode,cos_lr,crop_fraction,data,degrees,deterministic,device,dfl,dnn,dropout,dynamic,embed,epochs,erasing,exist_ok,fliplr,flipud,format,fraction,freeze,half,hsv_h,hsv_s,hsv_v,imgsz,int8,iou,keras,kobj,learning_rate,line_width,lr0,lrf,mask_ratio,max_det,mixup,mode,model,momentum,mosaic,multi_scale,name,nbs,nms,opset,optimize,optimizer,overlap_mask,patience,perspective,plots,pose,pretrained,profile,project,rect,resume,retina_masks,save,save_conf,save_crop,save_dir,save_frames,save_hybrid,save_json,save_period,save_txt,scale,seed,shear,show,show_boxes,show_conf,show_labels,simplify,single_cls,source,split,stream_buffer,task,time,tracker,translate,val,verbose,vid_stride,visualize,warmup_bias_lr,warmup_epochs,warmup_momentum,weight_decay,workers,workspace,lr/pg0,lr/pg1,lr/pg2,metrics/mAP50-95B,metrics/mAP50B,metrics/precisionB,metrics/recallB,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
2025-01-27 00:15:48,2.6h,afb91410655c4582831528fbc7b71ff6,YOLO_Run_20250126_184548,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config_1.yml,0.0,True,[0],1.5,False,0.0,False,None,20,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,480,False,0.7,False,1.0,0.0005859948294259242,None,0.0005859948294259242,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train2,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train2,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.00003718750000000003,0.00003718750000000003,0.00003718750000000003,0.31825632291856065,0.4945707369077814,0.6072991538934261,0.46773978649867565,1.01754,0.78686,1.17532,1.09242,4.70156,1.17076
2025-01-26 22:16:53,2.0h,a3bb97c594cb492faad863017bb0d912,YOLO_Run_20250126_164653,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,8,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config_1.yml,0.0,True,[0],1.5,False,0.0,False,None,30,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,320,False,0.7,False,1.0,0.00016120161210316335,None,0.00016120161210316335,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.00043,0.00043,0.00043,0.29379985153524923,0.46567567204628746,0.5925174963687017,0.4416275744428008,1.08961,0.83008,1.12321,1.13599,8.58153,1.09195
2025-01-26 22:14:09,,d19d58152076443084ff29075ea050d9,YOLO_Run_20250126_164409,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,RUNNING,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,30,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,320,False,0.7,False,1.0,0.0006571626091037966,None,0.0006571626091037966,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train5,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train5,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,,,,,,,,,,,,,
2025-01-26 21:43:48,4.1min,24521d5877a344edb628eb8248ee0b0f,YOLO_Run_20250126_161348,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,8,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,10,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,480,False,0.7,False,1.0,0.00030121823811814246,None,0.00030121823811814246,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train4,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train4,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.00009908099999999997,0.00009908099999999997,0.00009908099999999997,0.3197679890590741,0.5183708306525664,0.513938989362551,0.5310782850761837,1.1841,1.6902,1.1547,1.33053,1.59177,1.24575
2025-01-26 21:27:45,16.0min,e23f335bb2e446dfb323e4469a13e4dc,YOLO_Run_20250126_155745,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,30,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,480,False,0.7,False,1.0,0.00029517950564253464,None,0.00029517950564253464,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train3,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train3,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.000039086999999999994,0.000039086999999999994,0.000039086999999999994,0.3952390883000156,0.6247327537017082,0.6105934313985604,0.6073913564814529,1.03258,1.1087,1.09542,1.24076,1.37378,1.1957
2025-01-26 21:17:27,10.3min,c6dd8312e4a043168bafec57743d58ca,YOLO_Run_20250126_154727,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,20,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,320,False,0.7,False,1.0,0.0005704190162767635,None,0.0005704190162767635,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train2,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train2,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,8,None,0.00005408550000000004,0.00005408550000000004,0.00005408550000000004,0.3380509191118487,0.5416288819113261,0.5919081425323823,0.4799121801244271,1.2097,1.49702,1.12026,1.30944,1.51755,1.15892
2025-01-26 21:12:33,4.9min,88fa06bd51eb476cacd1246f5c5fc0e2,YOLO_Run_20250126_154233,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,10,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,480,False,0.7,False,1.0,0.0003896239065300769,None,0.0003896239065300769,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.00009908099999999997,0.00009908099999999997,0.00009908099999999997,0.29962896206449574,0.4863362188596702,0.47365790324051293,0.5356120469578485,1.20463,1.83822,1.19091,1.31745,1.67124,1.26301
2025-01-26 21:09:57,,1470c253c1c74598a425af257cd5078f,YOLO_Run_20250126_153957,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,RUNNING,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,10,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,320,False,0.7,False,1.0,0.001883697569146215,None,0.001883697569146215,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train11,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train11,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,4,None,0.00030210882352941175,0.00030210882352941175,0.00030210882352941175,,,,,1.57979,3.48027,1.31052,,,
2025-01-26 20:58:12,11.7min,628fa35148da4f29a1ba115293ce330b,YOLO_Run_20250126_152812,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,20,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,480,False,0.7,False,1.0,0.0006526200762748654,None,0.0006526200762748654,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train10,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train10,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,8,None,0.00005408550000000004,0.00005408550000000004,0.00005408550000000004,0.38121877918326696,0.6140412669538612,0.6270008076000612,0.5828958269520113,1.08585,1.33582,1.1307,1.27991,1.42963,1.2366
2025-01-26 20:48:11,10.0min,88622bbc904b41e3b94db15379b66d64,YOLO_Run_20250126_151811,LOCAL,/home/nic/miniconda3/envs/mlops_A_2/lib/python3.9/site-packages/ipykernel_launcher.py,nic,FINISHED,False,True,False,randaugment,4,0.0,7.5,False,None,None,10,0.5,None,0.0,flip,False,1.0,updated_config.yml,0.0,True,[0],1.5,False,0.0,False,None,20,0.4,False,0.5,0.0,torchscript,1.0,None,False,0.015,0.7,0.4,320,False,0.7,False,1.0,0.0067962018012395235,None,0.0067962018012395235,0.01,4,300,0.0,train,yolo11n.pt,0.937,1.0,False,train9,64,False,None,False,auto,True,100,0.0,True,12.0,True,False,None,False,False,False,True,False,False,runs/detect/train9,False,False,False,-1,False,0.5,0,0.0,False,True,True,True,True,False,None,val,False,detect,None,botsort.yaml,0.1,True,True,1,False,0.0,3.0,0.8,0.0005,8,None,0.00005408550000000004,0.00005408550000000004,0.00005408550000000004,0.3380509191118487,0.5416288819113261,0.5919081425323823,0.4799121801244271,1.2097,1.49702,1.12026,1.30944,1.51755,1.15892
